customerid,nrofautomatedtestcases,nrofmanualtestcases,nrofmanualtestcasesexecutedperyear,nrofautomatedtestcasesexecutedperyear,nroftotaltestcasesexecutedperyear,costavoidanceperyear,hoursspentontestingperyear,hoursspentonmanualtestingperyear,hoursspentonautomatedtestingperyear,hoursspentonautomatedtestprep,hoursspentonautomatedtestexec,hoursspentonmanualtestprep,hoursspentonmanualtestexec,Totallaborcostperyear
248,0,7494,7840,0,7840,45227000,787,787,0,0,0,490,261,46249
249,0,2248,7839,0,7839,12990250,870,870,0,0,0,490,261,147887
252,0,9368,9800,0,9800,45340750,976,976,0,0,0,613,327,46446
253,0,9368,9800,0,9800,45340750,976,976,0,0,0,613,327,46446
254,0,500,4002,0,4002,26735850,391,391,0,0,0,250,133,59433
255,0,500,4002,0,4002,26735850,391,391,0,0,0,250,133,59433
256,0,500,4002,0,4002,26735850,391,391,0,0,0,250,133,59433
250,0,9368,32666,0,32666,13627250,3250,3250,0,0,0,2042,1089,154618
251,0,9368,32666,0,32666,13627250,3250,3250,0,0,0,2042,1089,154618
262,0,2500,52500,0,52500,0,58789,58789,0,0,0,31500,27213,21661
265,0,9368,32666,0,32666,13627250,3250,3250,0,0,0,2042,1089,154618
266,0,9368,32666,0,32666,13627250,3250,3250,0,0,0,2042,1089,154618
267,0,9368,9800,0,9800,51096500,976,976,0,0,0,613,327,39409
280,0,9368,9800,0,9800,51096500,976,976,0,0,0,613,327,39409
287,0,2500,52500,0,52500,0,58923,58923,0,0,0,31500,27213,21471
307,0,500,4005,0,4005,44205750,2364,2364,0,0,0,1335,1001,316575
308,0,500,4005,0,4005,44205750,2364,2364,0,0,0,1335,1001,316575
276,0,9368,9800,0,9800,51096500,976,976,0,0,0,613,327,39409
277,0,9368,9800,0,9800,51096500,976,976,0,0,0,613,327,39409
278,0,9368,9800,0,9800,51096500,976,976,0,0,0,613,327,39409
298,0,2500,52500,0,52500,0,58726,58726,0,0,0,31500,27213,21665
299,0,1000,18200,0,18200,0,1379,1379,0,0,0,910,455,19859
288,0,2500,52500,0,52500,0,58923,58923,0,0,0,31500,27213,21471
289,0,1000,18200,0,18200,0,1575,1575,0,0,0,910,455,15537
301,0,500,4005,0,4005,23669325,442,442,0,0,0,334,100,79262
302,0,500,4005,0,4005,23669325,442,442,0,0,0,334,100,79262
303,0,500,4005,0,4005,4420575,2364,2364,0,0,0,1335,1001,316575
304,0,500,3738,0,3738,4739175,2207,2207,0,0,0,1246,935,295518
305,0,500,3738,0,3738,25262325,414,414,0,0,0,312,94,74057
306,0,500,3738,0,3738,47391750,2207,2207,0,0,0,1246,935,295518
309,0,500,4005,0,4005,44205750,2364,2364,0,0,0,1335,1001,316575
310,0,500,4005,0,4005,44205750,2364,2364,0,0,0,1335,1001,316575
311,1405,7963,141722,25006,166728,15856750,17876,13708,4168,2084,2084,8858,4724,152932
312,0,5950,145775,0,145775,0,13978,13978,0,0,0,9111,4859,449920
313,0,500,4005,0,4005,8841150,2364,2364,0,0,0,1335,1001,232622
