customerid,nrofautomatedtestcases,nrofmanualtestcases,nrofmanualtestcasesexecutedperyear,nrofautomatedtestcasesexecutedperyear,nroftotaltestcasesexecutedperyear,costavoidanceperyear,hoursspentontestingperyear,hoursspentonmanualtestingperyear,hoursspentonautomatedtestingperyear,hoursspentonautomatedtestprep,hoursspentonautomatedtestexec,hoursspentonmanualtestprep,hoursspentonmanualtestexec,Totallaborcostperyear
77,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
38,85,1609,35141,1856,36997,2001000,78418,48660,29758,29696,62,35141,13471,2278272
39,0,1609,35141,0,35141,2001000,48660,48660,0,0,0,35141,13471,0
40,0,1609,35141,0,35141,2001000,48660,48660,0,0,0,35141,13471,0
42,0,1609,35141,0,35141,0,48660,48660,0,0,0,35141,13471,2278272
60,0,1705,2026,0,2026,2001000,2827,2827,0,0,0,2026,777,0
61,85,1620,1925,101,2026,2001000,4306,2687,1619,1616,3,1925,738,2278272
62,0,3397,3722,0,3722,2001000,5197,5197,0,0,0,3722,1427,2090112
63,170,3227,3536,186,3722,2001000,7921,4939,2982,2976,6,3536,1355,2278272
65,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
71,0,295,3655,0,3655,2001000,5104,5104,0,0,0,3655,1401,2090112
73,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
78,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
79,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
80,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
81,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
82,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
83,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
84,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
88,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
90,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
91,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
97,23,427,3502,189,3691,150000,1206,1171,35,16,16,584,584,280000
98,23,427,3502,189,3691,150000,1206,1171,35,16,16,584,584,280000
99,0,3397,3722,0,3722,2001000,5197,5197,0,0,0,3722,1427,2090112
100,900,8100,238950,26550,265500,150000,88512,79656,8856,4425,4425,39825,39825,180000
101,1800,7200,38520,9630,48150,100000,14452,12843,1609,803,803,6420,6420,1790000
102,0,1000,3800,0,3800,150000,0,0,0,0,0,1267,1267,0
103,0,1000,3800,0,3800,150000,2537,2537,0,0,0,1267,1267,200000
104,0,1000,0,0,0,0,0,0,0,0,0,0,0,200000
106,0,1000,4250,0,4250,0,2834,2834,0,0,0,2125,708,500000
86,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
87,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
92,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
93,279,157,3956,7031,10987,0,40032,3159,36873,35155,1406,1319,1648,2382849
94,279,157,3956,7031,10987,0,40032,3159,36873,35155,1406,1319,1648,2382849
105,0,1000,4250,0,4250,0,2834,2834,0,0,0,2125,708,500000
107,0,1000,4250,0,4250,0,2834,2834,0,0,0,2125,708,500000
108,0,1000,4250,0,4250,0,0,0,0,0,0,2125,708,0
109,0,1000,4250,0,4250,0,0,0,0,0,0,2125,708,0
112,0,1000,4250,0,4250,0,2834,2834,0,0,0,2125,708,500000
118,0,9000,34200,0,34200,0,45603,45603,0,0,0,28500,17100,500000
119,0,2000,14500,0,14500,0,14505,14505,0,0,0,7250,7250,290000
120,0,2000,14500,0,14500,0,14505,14505,0,0,0,7250,7250,290000
125,0,10000,17000,0,17000,138840,5668,5668,0,0,0,2833,2833,3000000
126,0,0,0,0,0,750000,0,0,0,0,0,0,0,800000
111,0,1000,4250,0,4250,0,2834,2834,0,0,0,2125,708,500000
127,0,10000,17000,0,17000,138840,5668,5668,0,0,0,2833,2833,3000000
